dataPublicada,autor_anonimo,texto,sentimento,tipoInteracao
2022-08-30 14:37:00,697,"Quer visualizar o saldo de todas as suas contas bancárias em um só lugar? Temos uma solução para te ajudar.  Quando você compartilha os seus dados de outras instituições pelo Open Finance, o aplicativo BTG Banking gera uma visão global que soma todos os seus saldos de todas as suas contas. Uma função prática e facilita a sua vida financeira do dia a dia.  Confira no vídeo o passo a passo e aproveite o jeito BTG de ser Open.  🖥 www.amgcapital.com.br 📧 E-mail: contato@amgcapital.com.br  Credenciados a btgpactual  ☎ Telefones: São Paulo (11) 3077 4600 Porto Alegre (51) 3557 1880 Florianópolis (48) 3371 4611  ‼ DISCLAIMER: Este post é de caráter informativo e não constitui uma oferta de compra ou de venda de ativos financeiros.  #AMGCapital #btgpactual #Investimentos #Ações #FIIs #TesouroDireto #LCI #LCA #CDB #ETFs #Debêntures #IR #economia #ibovespa #educaçãofinanceira",NEGATIVE,marcação
2022-08-30 15:11:00,173,Preços excelentes na hora de investir em boas empresas? Esse é um dos temas dessa live com fernandohmag e hugootani.   Salve o alerta e assista!,POSITIVE,marcação
2022-08-30 16:35:00,4120,Onde consigo realizar uma simulação de seguro de vida?,POSITIVE,comentário
2022-08-30 16:50:00,4121,Taxa adm alta e ainda taxa de performance num segmento novo? Na minha opinião existem outros oportunidades em fiis bem mais interessantes? @btgpactual sempre com essa tendência que eu pessoalmente neste produto (fiis) nao vejo vantagem.,NEUTRAL,comentário
2022-08-30 17:15:00,3295,🔥 Faça parte do clube de vantagens BTG. 💯  👉🏻 Peça já sei cartão e comece a desfrutar de inúmeras vantagens. ✨  ☎️ Fale agora com seu assessor de investimentos!  #vantagens #beneficios #vip #btgpactual #viagem #trip #mochileiros #viagembrasil #viageminesquecivel #viageminternacional #riqueza #mentalidadedesucesso #negociodachina #evoluxinvestimentos,POSITIVE,marcação
2022-08-30 18:12:00,4122,"Planejando o futuro, só focado no lucro🚀🌏",NEUTRAL,marcação
2022-08-30 18:59:00,4120,@btgpactual  mas antes de contratar o serviço em quero conversar sobre as opções de seguro. Há com quem conversar e a simulação é feita somente no próprio aplicativo?,POSITIVE,resposta
2022-08-30 19:39:00,4123,"""Hoje tivemos mais uma edição do Geo Convida aqui na Geo.  Trouxemos o tema de """"Como aproveitar oportunidades em tempos de crise"""", com o nosso diretor de distribuição Gustavo Aranha, nosso fundador Oliver Mizne e nosso sócio e analista de investimento Marcelo Carramaschi.  Uma chance única de bater um papo com nossos parceiros mais próximos e poder compartilhar cada vez mais conhecimento.  Obrigada a todos pela visita e contem conosco.""",POSITIVE,marcação
2022-08-30 19:56:00,4124,"Falta de transparência! ao solicitar cartão de crédito e simplesmente tê-lo negado sem ter a ciência do motivo, mesmo tendo investimentos necessários para ser elegível ao black.",NEGATIVE,comentário
2022-08-30 19:50:00,4125,Na XP Investimentos meus clientes conseguem acompanhar em tempo real a conta investimentos e banking em um único app.,POSITIVE,comentário
2022-08-30 20:25:00,4126,@btgpactualempresas @btgpactual,NEUTRAL,comentário
2022-08-30 20:24:00,4127,Linda demais,POSITIVE,comentário
2022-08-30 20:20:00,4128,Eu sempre sou muito comprada e dedicada em tudo que faço! Me empenho e entrego meu melhor em toda oportunidade. Esse sorriso no rosto só resume meu sentimento em poder fazer parte desse time. #gratidão,POSITIVE,marcação
2022-08-30 20:15:00,4129,#Repost btgpactual  ・・・ Um fato: o BTG reconhece a sua trajetória.  Estaremos sempre ao seu lado para você ter sucesso na sua vida financeira e construir a sua história. Já deu um BTG na sua vida hoje?,POSITIVE,marcação
2022-08-30 22:14:00,4130,@btgpactual,NEUTRAL,comentário
2022-08-30 22:54:00,176,Top💙,NEUTRAL,comentário
2022-08-30 22:46:00,4131,@btgpactual,NEUTRAL,comentário
2022-08-31 00:47:00,4132,@ca.rinesantos Chamei no direct,NEUTRAL,resposta
2022-08-31 10:47:00,3303,"Essa semana pago a última fatura e vou cancelar. Não me responderam mais no Reclame Aqui, nem no chat. Ficou por isso.",NEGATIVE,resposta
2022-08-31 10:45:00,1569,¿Sabe cuáles son los atributos de los #FondosdeInversiónColectiva (FIC)? El seguimiento continuo de las inversiones; la separación patrimonial; Los resultados colectivos que permiten la disminución de costos y mucho más. ¡Entérese aquí! #EducaciónFinanciera,NEGATIVE,marcação
2022-08-31 09:41:00,1753,"Olá. Pensem, por favor, numa melhora dos aplicativos. É muito complicado 3 aplicativos para quem é cliente (sem contar o da PJ). Por que não unir o app investimento e conta em um só? Deixando apenas o Trader separado. Além disso, ainda fico perdido nesse layout dos aplicativos. São confusos demaaais 😓😓😓",NEGATIVE,comentário
