texto,sentimento,tipoInteracao,autor_anonimo
Confira os resultados dos nossos fundos no mes de fevereiro22 Todas as informacoes documentacoes e materiais tecnicos dos fundos podem ser acessados pelos links abaixo   V8 Cash FI Renda Fixa CP httpslnkdindusC2Jmn  V8 Vanquish Termo FI Renda Fixa httpslnkdind3PnGJUu  V8 Veyron Smart Beta FI Acoes httpslnkdindJnJW4PP  V8 Elva Deb Incentivadas FIC FIM CP httpslnkdindap37vV  V8 Challenger FIM CP httpslnkdind5bNHZQJ  V8 ANF Luxbridge Global Real Estate FIM IE httpslnkdindXZcaTpp  Onde voce encontra nossos fundos modalmais oramainvestimentos warrenbrasil terrainvestimentosoficial ativainvestimentos novafuturainvestimentos nubank nectoninvestimentos miraeassetcorretora toroinvestimentos rbinvestimentos guideinvestimentos btgpactual xpinvestimentos simpaulinvestimentos   v8capital investir investimentos mercadofinanceiro ibovespa cdi rendafixa multimercado acoes,NEUTRAL,marcação,1
A Alvarez  Marsal estara conosco no Sportainmet Labs primeiro evento do sportainment da America Latina em uma parceria entre BTG Pactual Hubstage Bichara e Motta Advogados e Win the Game   Participe Evento online e gratuito  23 de marco Inscrevase no link na bio      Hubstage SportainmentLabs BicharaeMotta BTGPactual WinTheGame Sportainment Esporte Entretenimento Digital futuro,NEUTRAL,marcação,2
Repost btgpactual with make_repost  Entenda os impactos do conflito Russia x Ucrania no cenario global em uma live inedita Amanha a partir das 14h Anatole Kaletsky Sociofundador e Economistachefe da Gavekal Research e Joao Scandiuzzi Estrategista Global do BTG Pactual Wealth Management sob a moderacao de Daniel Cunha BTG Pactual estarao ao vivo em nosso canal do Youtube Nao perca  Informacao importante audio original em ingles,NEUTRAL,marcação,3
Minuto touro de ouro,POSITIVE,comentário,4
ricktolledo Sim,NEUTRAL,resposta,5
Queria saber se a Btg banking e a propria btg que administra,POSITIVE,comentário,6
Com o inicio da guerra entre Russia e Ucrania o bom e velho Ouro aparece como hedge da carteira Afinal ele tem a vantagem intrinseca de reserva de valor   Muito se especulava sobre o bitcoin  se tornar o ouro digital Mas se pararmos para pensar a vantagem competitiva das criptomoedas e a caracteristica das financas descentralizadas isto e nao ter um dono especifico um Banco Central ou um pais dominante A liberdade na sua essencia   E nesse cenario que Hillary Clinton e Christine Lagarde presidente do BCE se preocupam com a possibilidade da Russia driblar as sancoes atraves das criptomoedas segundo reportagem da Exame no site Future of Money futofmoney Entretanto especialistas dizem na reportagem que mesmo que isso acontecesse nao haveria liquidez suficiente para o tamanho da economia da Russia    Independente do que veremos a seguir cada vez mais as criptomoedas vem ganhando espaco no mundo dos investimentos e crescendo em larga escala So nessa semana o ouro esta com uma valorizacao de 26 Enquanto o bitcoin saiu de R38000 para R42000 Mas um aviso  tem que ter estomago para aguentar a volatilidade   Para comecar a investir em Ouro temos os fundos do btgpactual BTG PACTUAL OURO FIC FIM e do Bradesco BRADESCO FIC FIM OURO indicados para o perfil moderado   Se quiser investir em criptomoedas temos os fundos da Hashdex hashdexcripto e o proprio ETF com o ticker HASH11 que e uma cesta de criptomoedas   Disclaimer Antes de inve,NEGATIVE,marcação,7
O Fundo Imobiliario Hospital Nossa Senhora de Lourdes NSLU11 informou que ainda nao recebeu a totalidade do pagamento do aluguel mensal referente a janeiro de 2022 devido pela locataria Rede DOr   Por isso de acordo com a administradora BTG Pactual a distribuicao de rendimentos do fundo aos cotistas foi impactada negativamente em cerca de R 039 por cota   O BTG Pactual tambem informou que tomara as medidas necessarias para que o fundo receba a diferenca do valor pago e devido no cumprimento de sentenca judicial   Em 2 de fevereiro o fundo havia informado o pagamento de parte do aluguel devido pela Rede DOr apos uma determinacao da justica    Saiba mais no link do Stories Bio ou acesse wwwclubefiinewscombr  fundosimobiliarios fiis NSLU11 hospitais mercadoimobiliario fundoimobiliario realestate imoveis mercadofinanceiro investimentos rendapassiva,NEGATIVE,marcação,8
Sem alguns parceiros como a wiseaai e btgpactual nosso evento Move Day nao seria o mesmo  Missao da wiseaai e tornar VOCE um INVESTIDOR completo e te ajudar a tomar as melhores decisoes para gerir o seu capital  WORK Compartilhamos seus planos e metas INSURANCE Tracamos caminhos para levar voce mais longe SAVING Entregamos sucessos para investidores atraves de um plano personalizado de investimentos ENJOY Uma selecao de especialistas para VOCE se preocupar com o que realmente importa  Mais de 12 anos de historia Fundada em 2009 a Wise e um escritorio contratado pelo banco btgpactual  o maior banco de Investimentos da America Latina  Maior rede de escritorios do Brasil Com 45 escritorios em 44 diferentes cidades Com mais de 10000 clientes e amigos  moveday wiseaai btgpactual,NEUTRAL,marcação,9
Ha 10 anos eu vivo 24 horas por dia o mercado financeiro ha 8 anos eu empreendo no setor e ha 7 meses optei junto a meus socios mudar de casa de parceiro de bandeira  A decisao de mudar de casa depois de 7 anos nao foi facil exigiu muita paciencia muita racionalidade e muito foco no que seria melhor para o nosso cliente  Saimos da zona de conforto e enxergamos quantas oportunidades e quantos desafios ainda temos pela frente mas ter o apoio o respeito e a parceria do maior banco de investimentos da America Latina torna tudo muito mais facil  E o btgpactual so e o maior porque possui pessoas de excelente gabarito fazendo a sua historia acontecer  Muito obrigado aqueles que nos apoiam nos motivam e torcem pelo nosso sucesso  Inovar a forma de fazer negocios para realizar sonhos E so o comeco  SejaOnix DeUmBTG,POSITIVE,marcação,10
